,time,volume,open,close,high,low,ema,ma,contract_turnover,deal,commission,open_position,order_position
276,2022-05-04 10:30:00+00:00,9,105.66,105.63,105.71,105.63,105.71107972747772,105.715,139431.6,sell,55.77264,-67.0,-132.0
277,2022-05-04 10:35:00+00:00,26,105.72,105.74,105.75,105.72,105.7163379588454,105.71399999999998,-139576.8,buy,55.83072,65.0,132.0
282,2022-05-04 11:05:00+00:00,1,105.56,105.56,105.56,105.56,105.68972400129064,105.695,139339.19999999998,sell,55.735679999999995,-67.0,-132.0
289,2022-05-04 11:40:00+00:00,7,105.54,105.62,105.68,105.54,105.60579145514392,105.599,-139418.4,buy,55.767360000000004,65.0,132.0
295,2022-05-04 12:20:00+00:00,27,105.52,105.38,105.52,105.3,105.59647122323932,105.612,139101.6,sell,55.640640000000005,-67.0,-132.0
301,2022-05-04 12:50:00+00:00,1,105.6,105.6,105.6,105.6,105.55540791615388,105.539,-139391.99999999997,buy,55.75679999999999,65.0,132.0
308,2022-05-04 13:50:00+00:00,1,105.62,105.62,105.62,105.62,105.62558635141644,105.629,139418.4,sell,55.767360000000004,-67.0,-132.0
325,2022-05-05 07:45:00+00:00,27,106.62,106.6,106.69,106.57,106.32,106.32,-138579.99999999997,buy,55.43199999999999,63.0,130.0
335,2022-05-05 08:40:00+00:00,1,106.72,106.72,106.72,106.72,106.83451050899572,106.851,138735.99999999997,sell,55.49439999999999,-67.0,-130.0
340,2022-05-05 09:10:00+00:00,6,107.46,107.38,107.46,107.38,107.0948117741938,107.078,-139594.0,buy,55.8376,63.0,130.0
437,2022-05-06 10:00:00+00:00,574,109.0,108.86,109.0,108.82,108.93179548127776,108.938,139340.8,sell,55.73632,-65.0,-128.0
438,2022-05-06 10:05:00+00:00,1,109.03,109.03,109.03,109.03,108.94965084831816,108.946,-139558.4,buy,55.82336,63.0,128.0
445,2022-05-06 10:40:00+00:00,5,109.08,109.07,109.08,109.07,109.17403618967212,109.188,139609.59999999998,sell,55.84383999999999,-65.0,-128.0
454,2022-05-06 11:30:00+00:00,2,108.95,108.95,108.95,108.95,108.86561009682144,108.861,-139456.0,buy,55.7824,63.0,128.0
460,2022-05-06 12:00:00+00:00,1,108.3,108.3,108.3,108.3,108.59590285373456,108.61,138624.0,sell,55.449600000000004,-65.0,-128.0
462,2022-05-06 12:10:00+00:00,1,108.75,108.75,108.75,108.75,108.64981926572312,108.645,-139200.0,buy,55.68,63.0,128.0
469,2022-05-06 12:45:00+00:00,7,108.3,108.2,108.42,108.2,108.46463009964636,108.48999999999998,138496.0,sell,55.3984,-65.0,-128.0
476,2022-05-06 13:20:00+00:00,4,108.38,108.54,108.54,108.38,108.26879659356788,108.242,-138931.2,buy,55.572480000000006,63.0,128.0
482,2022-05-06 13:50:00+00:00,2,107.85,107.85,107.85,107.85,108.13935708140012,108.195,138047.99999999997,sell,55.219199999999994,-65.0,-128.0
488,2022-05-06 14:25:00+00:00,5,108.13,108.16,108.16,108.13,107.95486353938496,107.877,-138444.8,buy,55.377919999999996,63.0,128.0
500,2022-05-06 15:30:00+00:00,8,108.3,108.15,108.3,108.12,108.24220756496608,108.241,68134.5,week end,27.253800000000002,0.0,-63.0
527,2022-05-11 10:00:00+00:00,1,103.15,103.15,103.15,103.15,103.030920620661,103.005,-69110.5,buy,27.6442,67.0,67.0
529,2022-05-11 10:10:00+00:00,1,102.64,102.64,102.64,102.64,102.94483115928546,102.954,139590.4,sell,55.83616,-69.0,-136.0
535,2022-05-11 10:40:00+00:00,12,102.9,103.14,103.25,102.9,102.9068763514899,102.898,-138207.59999999998,buy,55.28303999999999,65.0,134.0
594,2022-05-12 07:45:00+00:00,11,103.12,103.11,103.25,103.07,102.813,102.81300000000002,138167.4,sell,55.26696,-69.0,-134.0
595,2022-05-12 07:50:00+00:00,10,103.16,103.24,103.3,103.15,102.89063636363636,102.827,-138341.59999999998,buy,55.336639999999996,65.0,134.0
600,2022-05-12 08:25:00+00:00,15,103.25,102.8,103.26,102.8,102.92373289601652,102.925,139808.0,sell,55.9232,-71.0,-136.0
608,2022-05-12 09:05:00+00:00,6,102.9,102.92,102.92,102.87,102.75224219785576,102.732,-139971.2,buy,55.98848000000001,65.0,136.0
634,2022-05-12 11:45:00+00:00,15,103.25,103.15,103.25,103.03,103.32190530625628,103.337,138221.0,sell,55.2884,-69.0,-134.0
642,2022-05-12 12:30:00+00:00,5,103.35,103.4,103.45,103.35,103.14789241882087,103.124,-138556.0,buy,55.4224,65.0,134.0
749,2022-05-13 14:00:00+00:00,7,107.61,107.73,107.73,107.54,107.8328959974842,107.843,137894.4,sell,55.15776,-63.0,-128.0
753,2022-05-13 14:20:00+00:00,18,108.2,108.41,108.45,108.2,107.99010932583111,107.96,-138764.8,buy,55.505919999999996,65.0,128.0
767,2022-05-13 15:30:00+00:00,10,108.37,108.66,108.66,108.37,108.5602563341596,108.645,70629.0,week end,28.2516,0.0,-65.0
771,2022-05-16 07:50:00+00:00,25,106.77,106.58,106.77,106.56,107.18627272727272,107.206,69277.0,sell,27.710800000000003,-65.0,-65.0
825,2022-05-16 13:10:00+00:00,6,107.28,107.32,107.32,107.28,107.24802287109694,107.246,-139515.99999999997,buy,55.80639999999999,65.0,130.0
909,2022-05-17 12:20:00+00:00,19,112.55,112.21,112.55,112.2,112.46223147497597,112.47,139140.4,sell,55.65616,-59.0,-124.0
